title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,publisher,media_avaliacao
Becoming a Data Head: How to Think Speak and Understand Data Science Statistics and Machine Learning,"[Alex J. Gutman,Jordan Goldmeier]",24.49,272,4.6,184,0.74,0.18,0.05,0.02,0.01,Wiley,0.308
Ace the Data Science Interview: 201 Real Interview Questions Asked FAANG Tech Startups & Wall Street,"[Nick Singh,Kevin Huo]",26,301,4.5,599,0.77,0.1,0.06,0.03,0.04,Ace the Data Science Interview (August 16 2021),0.302
Fundamentals of Data Engineering: Plan and Build Robust Data Systems,"[Joe Reis,Matt Housley]",50.76,446,5,33,0.96,0.04,0,0,0,OReilly Media,0.330666666666667
Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra Probability and Statistics,[Thomas Nield],44.8,347,4.5,27,0.79,0.05,0.05,0.05,0.05,OReilly Media,0.296666666666667
Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking,"[Foster Provost,Tom Fawcett]",36.99,413,4.5,970,0.71,0.15,0.08,0.03,0.03,OReilly Media,0.298666666666667
Data Science from Scratch: First Principles with Python,[Joel Grus],45.22,406,4.4,594,0.65,0.19,0.08,0.04,0.04,OReilly Media,0.291333333333333
Practical Statistics for Data Scientists: 50+ Essential Concepts Using R and Python,"[Peter Bruce,Andrew Bruce et al.]",24.88,368,4.6,655,0.76,0.14,0.06,0.02,0.02,OReilly Media,0.306666666666667
Python for Data Science: A Hands-On Introduction,[Yuli Vasiliev],28.49,240,4.3,6,0.78,0.22,0,0,0,No Starch Press (August 2 2022),0.318666666666667
Practical Linear Algebra for Data Science: From Core Concepts to Applications Using Python,[Mike Cohen],69.99,328,,0,0,0,0,0,0,OReilly Media,0
Data Science (The MIT Press Essential Knowledge series),,9.61,280,4.5,383,0.68,0.21,0.06,0.03,0.02,The MIT Press,0.3
Data Science For Dummies (For Dummies (Computer/Tech)),[Lillian Pierson],25.49,432,4.6,35,0.73,0.17,0.1,0,0,For Dummies,0.308666666666667
Azure Data Engineer Associate Certification Guide: A hands-on reference guide to developing your data engineering skills and preparing for the DP-203 exam,[Newton Alex],49.99,574,4.1,16,0.56,0.28,0.16,0,0,Packt Publishing (February 28 2022),0.293333333333333
Data Pipelines with Apache Airflow,"[Bas P. Harenslak,Julian Rutger de Ruiter]",47.62,480,4.7,44,0.77,0.16,0.03,0.04,0,Manning (April 27 2021),0.310666666666667
Practical Data Science with Python: Learn tools and techniques from hands-on examples to extract insights from data,[Nathan George],51.99,620,4.7,21,0.82,0.08,0.09,0,0,Packt Publishing (September 30 2021),0.312666666666667
Data Science on AWS: Implementing End-to-End Continuous AI and Machine Learning Pipelines,"[Chris Fregly,Antje Barth]",31.99,521,4.4,135,0.7,0.14,0.05,0.07,0.04,OReilly Media,0.292666666666667
Data Analysis for Business Economics and Policy,"[GÃ¡bor BÃ©kÃ©s,GÃ¡bor KÃ©zdi]",61.74,738,4.4,26,0.7,0.13,0.06,0.06,0.05,Cambridge University Press (May 6 2021),0.291333333333333
Machine Learning Design Interview: Machine Learning System Design Interview,[Khang Pham],34.15,210,3.6,57,0.47,0.15,0.08,0.07,0.22,Independently published (April 29 2022),0.236666666666667
Hands-On Data Analysis with Pandas: A Python data science handbook for data collection wrangling analysis and visualization 2nd Edition,"[Stefanie Molin,Ken Jee]",35.67,788,4.3,64,0.67,0.18,0.04,0.04,0.07,Packt Publishing,0.289333333333333
Business Data Science: Combining Machine Learning and Economics to Optimize Automate and Accelerate Business Decisions,[Matt Taddy],33.43,352,4.5,143,0.76,0.11,0.04,0.03,0.07,McGraw Hill,0.299333333333333
The Art of Statistics: How to Learn from Data,[David Spiegelhalter],17.99,448,4.6,2764,0.73,0.19,0.05,0.01,0.01,Basic Books (August 17 2021),0.306
Cleaning Data for Effective Data Science: Doing the other 80% of the work with Python R and command-line tools,[David Mertz],39.99,498,4.8,27,0.92,0.08,0,0,0,Packt Publishing (March 31 2021),0.328
Everything Data Analytics-A Beginners Guide to Data Literacy: Understanding the Processes That Turn Data Into Insights (Guides for Data Analytics Data Visualization and Communicating Data),,14.49,148,4.2,17,0.55,0.24,0.13,0.08,0,Kenneth Michael Fornari (May 24 2022),0.284
Effective Data Science Infrastructure: How to make data scientists productive,[Ville Tuulos],49.99,352,5,5,1,0,0,0,0,Manning (August 16 2022),0.333333333333333
Python Data Science Handbook: Essential Tools for Working with Data,[Jake VanderPlas],66.49,550,,0,0,0,0,0,0,OReilly Media,0
